,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
StubbornAgent,0.0,6944.0,2457.0,4676.0,11774.0,2254.0,0.0,707.0,4067.0,2415.0,3724.0,0.0,4877.25
FishingChip,2225.0,7175.0,2344.0,4641.0,11606.0,0.0,0.0,0.0,4142.0,2232.0,4566.0,0.0,4866.375
ReluctantAgent,3000.0,6829.0,3070.0,0.0,11535.0,3035.0,0.0,0.0,2418.0,3019.0,5704.0,0.0,4826.25
PunitiveMoodAgent,2430.0,7139.0,2376.0,4702.0,11741.0,2320.0,0.0,0.0,4059.0,0.0,3348.0,0.0,4764.375
PunitiveAgent,2238.0,6594.0,0.0,4667.0,11604.0,2382.0,0.0,0.0,4324.0,2379.0,3530.0,0.0,4714.75
ReluctantMoodAgent,2267.0,6906.0,2498.0,3760.0,11749.0,2497.0,0.0,0.0,0.0,2201.0,3848.0,0.0,4465.75
MysteryAgent,3805.0,5235.0,3714.0,5213.0,4503.0,4290.0,0.0,0.0,4216.0,3654.0,0.0,0.0,4328.75
AntiPunitiveAgent,5047.0,2997.0,5005.0,4932.0,0.0,4996.0,0.0,0.0,5093.0,4917.0,1516.0,0.0,4312.875
Random,3800.0,0.0,3657.0,3979.0,6198.0,3695.0,0.0,0.0,3705.0,3690.0,4868.0,0.0,4199.0
FicticiousPlay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
Exponential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
ChippingFish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
