,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,12748.0,7388.0,5521.0,7303.0,7281.0,12687.0,7279.0,0.0,4889.0,7156.0,6238.0,3643.0,12662.0,7899.583333333333
Exponential,10476.0,6418.0,6305.0,6520.0,6262.0,9094.0,6338.0,6199.0,0.0,6195.0,6270.0,3063.0,10356.0,6958.0
FishingChip,11718.0,2432.0,6916.0,2390.0,4529.0,11543.0,0.0,9464.0,7115.0,4163.0,2330.0,4601.0,11658.0,6571.583333333333
PunitiveAgent,11536.0,2420.0,7154.0,0.0,4765.0,11748.0,2480.0,9463.0,7094.0,4065.0,2352.0,3544.0,11696.0,6526.416666666667
StubbornAgent,11473.0,0.0,6846.0,2387.0,4557.0,11459.0,2219.0,9303.0,7168.0,4319.0,2394.0,3696.0,11795.0,6468.0
ReluctantAgent,11613.0,2909.0,6703.0,2962.0,0.0,11717.0,3016.0,9117.0,7136.0,2528.0,2825.0,5470.0,11599.0,6466.25
PunitiveMoodAgent,11753.0,2071.0,7126.0,2186.0,4649.0,11675.0,2392.0,8430.0,7202.0,4286.0,0.0,3489.0,11591.0,6404.166666666667
ReluctantMoodAgent,11487.0,2223.0,6484.0,2489.0,3780.0,11693.0,2471.0,9217.0,6962.0,0.0,2399.0,3992.0,11263.0,6205.0
Random,6487.0,3632.0,0.0,3729.0,3839.0,6419.0,3624.0,5099.0,4241.0,3942.0,3794.0,4700.0,6379.0,4657.083333333333
MysteryAgent,4518.0,3849.0,4965.0,3807.0,4839.0,4473.0,4200.0,5179.0,3144.0,4365.0,3675.0,0.0,4470.0,4290.333333333333
AntiPunitiveAgent,1015.0,4967.0,3020.0,4974.0,5020.0,0.0,5029.0,4045.0,3883.0,5058.0,4974.0,1547.0,1032.0,3713.6666666666665
CompromisingAgent,0.0,5043.0,3069.0,4959.0,5055.0,1005.0,4941.0,4089.0,3102.0,4938.0,4986.0,1530.0,1041.0,3646.5
ChippingFish,955.0,4941.0,3013.0,5030.0,5040.0,1036.0,5003.0,4069.0,3027.0,5023.0,4940.0,1539.0,0.0,3634.6666666666665
