,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points,Final Score
FicticiousPlay,6304.0,3652.0,2815.0,3595.0,3603.0,6282.0,3646.0,0.0,3255.0,3647.0,3119.0,1853.0,6300.0,4005.9166666666665,3.9979208250166334
Exponential,5154.0,3065.0,2825.0,3173.0,3226.0,5159.0,3239.0,3722.0,0.0,3203.0,3153.0,1475.0,4777.0,3514.25,3.507235528942116
ReluctantAgent,5824.0,1481.0,3381.0,1579.0,0.0,5823.0,1453.0,4662.0,3641.0,1116.0,1475.0,3073.0,5684.0,3266.0,3.259481037924152
FishingChip,5845.0,1196.0,3521.0,1207.0,2373.0,5768.0,0.0,4557.0,3559.0,2005.0,1196.0,2073.0,5831.0,3260.9166666666665,3.254407850964737
StubbornAgent,5740.0,0.0,3626.0,1288.0,2240.0,5817.0,1113.0,4830.0,3654.0,1953.0,1295.0,1729.0,5775.0,3255.0,3.248502994011976
PunitiveAgent,5747.0,1209.0,3569.0,0.0,2221.0,5675.0,1227.0,4707.0,3597.0,1969.0,1095.0,1909.0,5841.0,3230.5,3.224051896207585
PunitiveMoodAgent,5796.0,1164.0,3671.0,1102.0,2449.0,5749.0,1139.0,4251.0,3575.0,2043.0,0.0,1710.0,5767.0,3201.3333333333335,3.1949434464404525
ReluctantMoodAgent,5936.0,1118.0,3653.0,1256.0,1739.0,5852.0,1229.0,4573.0,3458.0,0.0,1154.0,1856.0,5817.0,3136.75,3.130489021956088
Random,3247.0,1901.0,0.0,1833.0,1965.0,3002.0,1779.0,2481.0,2579.0,1872.0,1783.0,2589.0,3074.0,2342.0833333333335,2.337408516300732
MysteryAgent,2311.0,1959.0,2544.0,1985.0,2584.0,2341.0,1960.0,2439.0,1586.0,2090.0,1877.0,0.0,2202.0,2156.5,2.152195608782435
ChippingFish,465.0,2541.0,1527.0,2494.0,2529.0,537.0,2476.0,2060.0,2074.0,2541.0,2521.0,759.0,0.0,1877.0,1.8732534930139721
AntiPunitiveAgent,550.0,2524.0,1519.0,2578.0,2531.0,0.0,2459.0,2011.0,1497.0,2544.0,2538.0,745.0,481.0,1831.4166666666667,1.827761144377911
CompromisingAgent,0.0,2538.0,1518.0,2505.0,2514.0,477.0,2493.0,1941.0,1572.0,2493.0,2493.0,768.0,552.0,1822.0,1.818363273453094
