,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,3699.0,2722.0,3655.0,3657.0,6253.0,3719.0,0.0,3453.0,3642.0,3112.0,1802.0,6223.0,3812.4545454545455
Exponential,3139.0,3333.0,3176.0,3111.0,5145.0,3193.0,3812.0,0.0,3020.0,3077.0,1638.0,4721.0,3396.818181818182
FishingChip,1263.0,3514.0,1224.0,2303.0,5775.0,0.0,4459.0,3433.0,2057.0,1238.0,2280.0,5775.0,3029.181818181818
StubbornAgent,0.0,3542.0,1162.0,2373.0,5712.0,1232.0,4564.0,3696.0,1897.0,1239.0,1806.0,5775.0,2999.818181818182
ReluctantAgent,1562.0,3335.0,1546.0,0.0,5757.0,1669.0,4366.0,3414.0,1037.0,1358.0,2792.0,5985.0,2983.7272727272725
PunitiveMoodAgent,1097.0,3734.0,1049.0,2403.0,5823.0,1202.0,4230.0,3338.0,2070.0,0.0,1783.0,5844.0,2961.181818181818
PunitiveAgent,1196.0,3292.0,0.0,2441.0,5791.0,1199.0,4584.0,3394.0,1976.0,1053.0,1696.0,5712.0,2939.4545454545455
ReluctantMoodAgent,1110.0,3411.0,1146.0,1788.0,5897.0,1356.0,4558.0,3648.0,0.0,1086.0,2040.0,5782.0,2892.909090909091
Random,1939.0,0.0,1855.0,1936.0,3378.0,1856.0,2648.0,2122.0,1852.0,1853.0,2571.0,3064.0,2279.4545454545455
MysteryAgent,1880.0,2697.0,2001.0,2651.0,2196.0,2106.0,2619.0,1707.0,2122.0,1875.0,0.0,2273.0,2193.3636363636365
ChippingFish,2473.0,1518.0,2482.0,2475.0,541.0,2418.0,1928.0,2008.0,2467.0,2528.0,774.0,0.0,1964.7272727272727
AntiPunitiveAgent,2512.0,1623.0,2509.0,2550.0,0.0,2554.0,2016.0,1483.0,2515.0,2539.0,753.0,471.0,1956.8181818181818
