,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,ReluctantMoodAgent,ChippingFish,Mean Points
FicticiousPlay,6316.0,3623.0,2819.0,3615.0,3654.0,6237.0,3607.0,0.0,3580.0,6340.0,4421.222222222223
StubbornAgent,5859.0,0.0,3654.0,1393.0,2415.0,5985.0,1127.0,4781.0,2135.0,5929.0,3697.5555555555557
FishingChip,5943.0,1284.0,3612.0,1277.0,2359.0,5747.0,0.0,4865.0,2080.0,5866.0,3670.3333333333335
PunitiveAgent,5817.0,1066.0,3723.0,0.0,2301.0,5934.0,1104.0,4738.0,2011.0,5893.0,3620.777777777778
ReluctantMoodAgent,5838.0,1189.0,3432.0,1141.0,1912.0,5729.0,1340.0,4811.0,0.0,5841.0,3470.3333333333335
ReluctantAgent,5859.0,1404.0,3335.0,1556.0,0.0,5816.0,1518.0,4537.0,1000.0,5792.0,3424.1111111111113
Random,3009.0,1749.0,0.0,1927.0,1893.0,3083.0,1998.0,2431.0,2023.0,2981.0,2343.777777777778
ChippingFish,608.0,2515.0,1498.0,2480.0,2486.0,531.0,2529.0,2050.0,2544.0,0.0,1915.6666666666667
CompromisingAgent,0.0,2490.0,1545.0,2550.0,2466.0,570.0,2523.0,1998.0,2460.0,504.0,1900.6666666666667
AntiPunitiveAgent,526.0,2520.0,1449.0,2473.0,2487.0,0.0,2491.0,2005.0,2460.0,525.0,1881.7777777777778
