,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,6312.0,3591.0,2900.0,3610.0,3569.0,6203.0,3641.0,0.0,2400.0,3595.0,3122.0,1857.0,6290.0,3924.1666666666665
Exponential,5188.0,3295.0,3345.0,3197.0,3063.0,4765.0,3127.0,2686.0,0.0,3204.0,3120.0,1433.0,4661.0,3423.6666666666665
FishingChip,5887.0,1063.0,3513.0,1210.0,2373.0,5866.0,0.0,4767.0,3587.0,2070.0,1214.0,2113.0,5775.0,3286.5
ReluctantAgent,5901.0,1431.0,3072.0,1547.0,0.0,5830.0,1483.0,4816.0,3665.0,1095.0,1510.0,2829.0,5904.0,3256.9166666666665
PunitiveAgent,5796.0,1097.0,3327.0,0.0,2322.0,5861.0,1234.0,4780.0,3516.0,2200.0,1242.0,1822.0,5802.0,3249.9166666666665
StubbornAgent,5831.0,0.0,3444.0,1295.0,2373.0,5859.0,1176.0,4942.0,3374.0,1974.0,1169.0,1785.0,5761.0,3248.5833333333335
PunitiveMoodAgent,5803.0,1133.0,3479.0,1347.0,2439.0,5984.0,1271.0,4111.0,3436.0,2136.0,0.0,1788.0,5768.0,3224.5833333333335
ReluctantMoodAgent,5908.0,1135.0,3421.0,1215.0,1827.0,5848.0,1188.0,4738.0,3593.0,0.0,1300.0,1942.0,5915.0,3169.1666666666665
Random,3162.0,1779.0,0.0,1748.0,1882.0,3198.0,1803.0,2443.0,2089.0,1968.0,1739.0,2294.0,3109.0,2267.8333333333335
MysteryAgent,2277.0,2057.0,2478.0,1901.0,2535.0,2292.0,2133.0,2511.0,1733.0,2104.0,1879.0,0.0,2268.0,2180.6666666666665
ChippingFish,571.0,2529.0,1512.0,2509.0,2521.0,558.0,2510.0,1960.0,2030.0,2562.0,2578.0,770.0,0.0,1884.1666666666667
AntiPunitiveAgent,554.0,2499.0,1476.0,2479.0,2471.0,0.0,2436.0,1979.0,2000.0,2465.0,2548.0,726.0,519.0,1846.0
CompromisingAgent,0.0,2502.0,1512.0,2493.0,2610.0,495.0,2487.0,2025.0,1542.0,2541.0,2517.0,771.0,531.0,1835.5
