,CompromisingAgent,StubbornAgent,Random,PunitiveAgent,ReluctantAgent,AntiPunitiveAgent,FishingChip,FicticiousPlay,Exponential,ReluctantMoodAgent,PunitiveMoodAgent,MysteryAgent,ChippingFish,Mean Points
FicticiousPlay,12668.0,7411.0,5861.0,7265.0,7246.0,12488.0,7340.0,0.0,7056.0,7226.0,6266.0,3754.0,12566.0,8095.583333333333
FishingChip,11515.0,2302.0,6933.0,2306.0,4886.0,11977.0,0.0,9170.0,7079.0,4217.0,2365.0,4911.0,11816.0,6623.083333333333
ReluctantAgent,11788.0,3027.0,6767.0,3068.0,0.0,11759.0,2969.0,9114.0,7088.0,2302.0,3128.0,5337.0,11676.0,6501.916666666667
Exponential,10344.0,6128.0,3777.0,6219.0,6023.0,9273.0,6154.0,5347.0,0.0,6241.0,6300.0,2825.0,9224.0,6487.916666666667
PunitiveAgent,11809.0,2343.0,7010.0,0.0,4643.0,11636.0,2410.0,9470.0,7047.0,4072.0,2229.0,3404.0,11700.0,6481.083333333333
StubbornAgent,11536.0,0.0,6888.0,2492.0,4683.0,11438.0,2429.0,9345.0,7014.0,4179.0,2345.0,3395.0,11648.0,6449.333333333333
PunitiveMoodAgent,11711.0,2078.0,7230.0,2315.0,4769.0,11472.0,2338.0,8373.0,7026.0,4154.0,0.0,3274.0,11815.0,6379.583333333333
ReluctantMoodAgent,11676.0,2325.0,7096.0,2425.0,3780.0,11630.0,2398.0,9136.0,7244.0,0.0,2378.0,3875.0,11784.0,6312.25
Random,6547.0,3522.0,0.0,3692.0,3833.0,6267.0,3654.0,5340.0,5949.0,3871.0,3815.0,4921.0,6412.0,4818.583333333333
MysteryAgent,4533.0,3821.0,5178.0,3657.0,4951.0,4502.0,4246.0,5007.0,3014.0,4447.0,4001.0,0.0,4577.0,4327.833333333333
ChippingFish,1071.0,4971.0,3044.0,4999.0,4917.0,952.0,4953.0,3946.0,4064.0,4965.0,5022.0,1554.0,0.0,3704.8333333333335
AntiPunitiveAgent,950.0,4920.0,2948.0,5034.0,5010.0,0.0,4983.0,3964.0,4032.0,4967.0,5041.0,1548.0,1020.0,3701.4166666666665
CompromisingAgent,0.0,5043.0,2961.0,5022.0,4998.0,1056.0,5004.0,3981.0,3015.0,5010.0,5034.0,1524.0,1050.0,3641.5
