,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,Mean Points
FicticiousPlay,85.0,0.0,-507.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-338.0,-137.0
Exponential,0.0,-145.0,-728.0,722.0,-1082.0,0.0,0.0,0.0,-531.0,-268.0,-254.0
BasicAgent,-399.0,334.0,-907.0,334.0,-2338.0,0.0,0.0,0.0,0.0,327.0,-331.125
SwerveAgent,-722.0,-1000.0,-511.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-2.0,-446.375
Random,8.0,507.0,0.0,511.0,-3118.0,0.0,0.0,0.0,-613.0,-1133.0,-479.75
ContinueAgent,882.0,1002.0,-2172.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4986.0,-659.25
MysteryAgent,-312.0,-332.0,-1147.0,2.0,-4994.0,0.0,0.0,0.0,-337.0,0.0,-890.0
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,-4383.75
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,-4383.75
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
