,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,MathBreaker,Mean Points
FicticiousPlay,63.0,0.0,-512.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-330.0,0.0,-139.375
Exponential,0.0,-153.0,-791.0,710.0,-1090.0,0.0,0.0,0.0,-468.0,-332.0,0.0,-265.5
BasicAgent,-222.0,334.0,-1027.0,334.0,-2338.0,0.0,0.0,0.0,0.0,326.0,0.0,-324.125
SwerveAgent,-710.0,-1000.0,-493.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-5.0,0.0,-443.0
Random,-219.0,502.0,0.0,493.0,-3074.0,0.0,0.0,0.0,-663.0,-1337.0,0.0,-537.25
ContinueAgent,870.0,1002.0,-2106.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4998.0,0.0,-654.0
MysteryAgent,-418.0,-330.0,-1323.0,5.0,-5002.0,0.0,0.0,0.0,-336.0,0.0,0.0,-925.5
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-4383.75
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-4383.75
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
