,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,MathBreaker,LastMoveAgent,Mean Points
FicticiousPlay,59.0,0.0,-506.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-342.0,0.0,656.0,-52.111111111111114
Exponential,0.0,-209.0,-707.0,717.0,-1082.0,0.0,0.0,0.0,-535.0,-246.0,0.0,116.0,-216.22222222222223
BasicAgent,-455.0,334.0,-1018.0,334.0,-2338.0,0.0,0.0,0.0,0.0,326.0,0.0,257.0,-284.44444444444446
SwerveAgent,-717.0,-1000.0,-492.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-4.0,0.0,-33.0,-398.0
Random,17.0,496.0,0.0,492.0,-3110.0,0.0,0.0,0.0,-692.0,-1279.0,0.0,324.0,-416.8888888888889
LastMoveAgent,-766.0,-1216.0,-604.0,33.0,-1114.0,0.0,0.0,0.0,-347.0,24.0,0.0,0.0,-443.3333333333333
ContinueAgent,882.0,1002.0,-2160.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4992.0,0.0,834.0,-492.6666666666667
MysteryAgent,-314.0,-338.0,-1291.0,4.0,-4998.0,0.0,0.0,0.0,-336.0,0.0,0.0,-34.0,-811.8888888888889
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-4453.333333333333
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-4453.333333333333
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
