,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,MathBreaker,LastMoveStaticAgent,LastMoveAgent,Mean Points
FicticiousPlay,64.0,0.0,-511.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-339.0,0.0,643.0,676.0,19.7
Exponential,0.0,-154.0,-656.0,718.0,-1094.0,0.0,0.0,0.0,-490.0,-459.0,0.0,104.0,98.0,-193.3
BasicAgent,-240.0,334.0,-990.0,334.0,-2338.0,0.0,0.0,0.0,0.0,332.0,0.0,278.0,254.0,-203.6
Random,106.0,501.0,0.0,509.0,-3042.0,0.0,0.0,0.0,-690.0,-1278.0,0.0,295.0,281.0,-331.8
ContinueAgent,864.0,1002.0,-2058.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4992.0,0.0,822.0,834.0,-352.8
SwerveAgent,-718.0,-1000.0,-509.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-1.0,0.0,-23.0,-15.0,-360.2
LastMoveStaticAgent,-654.0,-1223.0,-585.0,23.0,-1122.0,0.0,0.0,0.0,-338.0,18.0,0.0,0.0,121.0,-376.0
LastMoveAgent,-708.0,-1216.0,-581.0,15.0,-1114.0,0.0,0.0,0.0,-364.0,20.0,0.0,-291.0,0.0,-423.9
MysteryAgent,-551.0,-331.0,-1262.0,1.0,-4998.0,0.0,0.0,0.0,-332.0,0.0,0.0,-18.0,-30.0,-752.1
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-4509.0
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-4509.0
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
