,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,MathBreaker,LastMoveStaticAgent,LastMoveAgent,LookBackStaticAgent,LookBackAgent,Mean Points
LookBackStaticAgent,900.0,968.0,-713.0,30.0,-1134.0,0.0,0.0,0.0,-185.0,16.0,0.0,-581.0,-765.0,0.0,597.0,-72.25
LastMoveStaticAgent,-46.0,-109.0,-666.0,30.0,-1170.0,0.0,0.0,0.0,-372.0,16.0,0.0,0.0,216.0,141.0,317.0,-136.91666666666666
ContinueAgent,888.0,1002.0,-2052.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4998.0,0.0,750.0,852.0,804.0,840.0,-159.5
FicticiousPlay,-729.0,0.0,-503.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-336.0,0.0,-151.0,787.0,-978.0,-46.0,-191.0
BasicAgent,-436.0,334.0,-945.0,334.0,-2338.0,0.0,0.0,0.0,0.0,327.0,0.0,212.0,256.0,-35.0,-57.0,-195.66666666666666
Exponential,0.0,729.0,-763.0,737.0,-1078.0,0.0,0.0,0.0,-504.0,-332.0,0.0,-424.0,485.0,-1010.0,-570.0,-227.5
LastMoveAgent,-745.0,-1127.0,-534.0,24.0,-1102.0,0.0,0.0,0.0,-366.0,16.0,0.0,-406.0,0.0,385.0,638.0,-268.0833333333333
Random,-177.0,463.0,0.0,510.0,-3038.0,0.0,0.0,0.0,-615.0,-1156.0,0.0,106.0,374.0,-67.0,-78.0,-306.5
SwerveAgent,-737.0,-1000.0,-510.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-2.0,0.0,-30.0,-24.0,-30.0,-137.0,-317.1666666666667
LookBackAgent,-250.0,-54.0,-732.0,137.0,-1110.0,0.0,0.0,0.0,-223.0,5.0,0.0,-567.0,-1098.0,-957.0,0.0,-404.0833333333333
MysteryAgent,-398.0,-324.0,-1194.0,2.0,-5002.0,0.0,0.0,0.0,-337.0,0.0,0.0,-16.0,-16.0,-26.0,-35.0,-612.1666666666666
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-5010.0,-5010.0,-4592.5
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-5010.0,-5010.0,-4592.5
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
