,Exponential,FicticiousPlay,Random,SwerveAgent,ContinueAgent,BadMove,BadType,BadConnection,BasicAgent,MysteryAgent,MathBreaker,LastMoveStaticAgent,LastMoveAgent,LookBackStaticAgent,LookBackAgent,QLearningStaticAgent,QLearningAgent,Mean Points
FicticiousPlay,114.0,0.0,-470.0,1000.0,-1002.0,0.0,0.0,0.0,-334.0,-338.0,0.0,-140.0,-195.0,747.0,-55.0,-103.0,816.0,2.857142857142857
ContinueAgent,900.0,1002.0,-1932.0,1002.0,0.0,0.0,0.0,0.0,-1002.0,-4998.0,0.0,744.0,804.0,840.0,708.0,822.0,828.0,-20.142857142857142
LastMoveAgent,-359.0,-115.0,-681.0,17.0,-1134.0,0.0,0.0,0.0,-351.0,23.0,0.0,-603.0,0.0,738.0,598.0,367.0,666.0,-59.57142857142857
LastMoveStaticAgent,-226.0,-130.0,-671.0,494.0,-1174.0,0.0,0.0,0.0,-468.0,23.0,0.0,0.0,273.0,347.0,110.0,-99.0,613.0,-64.85714285714286
BasicAgent,-87.0,334.0,-1009.0,334.0,-2338.0,0.0,0.0,0.0,0.0,325.0,0.0,8.0,261.0,157.0,-17.0,-124.0,-17.0,-155.21428571428572
Random,5.0,470.0,0.0,484.0,-2958.0,0.0,0.0,0.0,-681.0,-1056.0,0.0,141.0,121.0,341.0,-292.0,-144.0,-43.0,-258.0
QLearningStaticAgent,-161.0,-77.0,-776.0,981.0,-1122.0,0.0,0.0,0.0,74.0,-173.0,0.0,-531.0,-887.0,-288.0,-987.0,0.0,233.0,-265.2857142857143
LookBackAgent,-660.0,-75.0,-858.0,22.0,-1198.0,0.0,0.0,0.0,-133.0,3.0,0.0,-610.0,-1118.0,-244.0,0.0,527.0,374.0,-283.57142857142856
Exponential,0.0,-154.0,-695.0,734.0,-1070.0,0.0,0.0,0.0,-473.0,-362.0,0.0,-484.0,-461.0,-70.0,-200.0,-499.0,-413.0,-296.2142857142857
LookBackStaticAgent,-630.0,-1127.0,-611.0,28.0,-1110.0,0.0,0.0,0.0,-287.0,2.0,0.0,-547.0,-1068.0,0.0,-166.0,-92.0,617.0,-356.5
SwerveAgent,-734.0,-1000.0,-484.0,0.0,-1002.0,0.0,0.0,0.0,-334.0,-3.0,0.0,-494.0,-17.0,-28.0,-22.0,-981.0,-494.0,-399.5
QLearningAgent,-17.0,-1106.0,-687.0,494.0,-1118.0,0.0,0.0,0.0,-133.0,-104.0,0.0,-1033.0,-1106.0,-927.0,-944.0,-803.0,0.0,-534.5714285714286
MysteryAgent,-448.0,-332.0,-1094.0,3.0,-5002.0,0.0,0.0,0.0,-335.0,0.0,0.0,-23.0,-33.0,-42.0,-33.0,-257.0,-156.0,-553.7142857142857
BadType,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-4652.142857142857
BadMove,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,0.0,0.0,0.0,-5010.0,-5010.0,0.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-5010.0,-4652.142857142857
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected
