,StaticRandom,CircularHotel,DelAgent,DumbChicken,E2A,EtchAgent,Eyes,GoodBot,HiBot,Jimbus,Kamen,QQQ,Mean Points,Final Score
DelAgent,52052.0,52673.0,0.0,52024.0,51010.0,50103.0,49390.0,52493.0,51429.0,48090.0,51051.0,50053.0,50942.545454545456,84.06360636063607
E2A,51933.0,53082.0,48355.0,50360.0,0.0,51188.0,48732.0,53874.0,50166.0,48551.0,51850.0,49633.0,50702.181818181816,83.66696669666966
Jimbus,51577.0,51647.0,49387.0,49462.0,49940.0,51215.0,48260.0,52765.0,50197.0,0.0,51218.0,48992.0,50423.63636363636,83.2073207320732
Eyes,48140.0,51978.0,47320.0,49042.0,48922.0,49993.0,0.0,52641.0,50700.0,49183.0,50622.0,49645.0,49835.09090909091,82.23612361236124
DumbChicken,50091.0,48715.0,50332.0,0.0,50340.0,51892.0,49169.0,49738.0,48932.0,49480.0,47494.0,48163.0,49486.0,81.66006600660066
EtchAgent,50536.0,47704.0,48788.0,48337.0,48112.0,0.0,48477.0,48280.0,50750.0,48782.0,51476.0,48572.0,49074.0,80.98019801980197
QQQ,48909.0,50141.0,45587.0,49768.0,47456.0,49056.0,47143.0,52976.0,49756.0,47110.0,49508.0,0.0,48855.454545454544,80.61956195619561
StaticRandom,0.0,48715.0,46729.0,49925.0,45330.0,45794.0,49041.0,48315.0,48699.0,48393.0,49292.0,47955.0,48017.09090909091,79.23612361236124
Kamen,46840.0,47663.0,45949.0,47437.0,45335.0,48820.0,46665.0,49319.0,48031.0,46657.0,0.0,47454.0,47288.181818181816,78.03330333033303
CircularHotel,48999.0,0.0,47436.0,44056.0,46188.0,41906.0,47421.0,47520.0,49311.0,46769.0,47266.0,47570.0,46767.454545454544,77.17401740174017
HiBot,45031.0,47686.0,44344.0,45444.0,45192.0,47447.0,45672.0,49650.0,0.0,46094.0,45686.0,47108.0,46304.90909090909,76.4107410741074
GoodBot,41718.0,42695.0,45509.0,41892.0,43233.0,42599.0,45857.0,0.0,47272.0,43481.0,44372.0,46070.0,44063.454545454544,72.71197119711971
