,StaticRandom,CircularHotel,DelAgent,DumbChicken,EtchAgent,E2A,Eyes,GoodBot,HiBot,Jimbus,Kamen,QQQ,Mean Points,Final Score
E2A,51490.0,54486.0,49184.0,51908.0,51546.0,0.0,49161.0,53952.0,50759.0,48872.0,51615.0,49127.0,70262.5,115.9447194719472
DelAgent,50193.0,51980.0,0.0,51784.0,51833.0,50366.0,49030.0,52120.0,51008.0,48923.0,51264.0,49351.0,69731.5,115.06848184818482
Eyes,49154.0,51066.0,47765.0,49743.0,49762.0,48093.0,0.0,54105.0,50723.0,47342.0,50666.0,48897.0,68414.5,112.89521452145215
DumbChicken,48374.0,49294.0,49248.0,0.0,48621.0,48870.0,48406.0,49551.0,49176.0,48911.0,47439.0,48630.0,67065.0,110.66831683168317
StaticRandom,0.0,47924.0,47958.0,50121.0,49117.0,46901.0,49170.0,48662.0,47703.0,48620.0,48961.0,48439.0,66697.0,110.06105610561056
EtchAgent,46715.0,45620.0,46859.0,51015.0,0.0,48421.0,47729.0,47085.0,50206.0,48570.0,50066.0,48016.0,66287.75,109.38572607260726
Kamen,48759.0,49159.0,46405.0,47060.0,49834.0,45769.0,46633.0,47196.0,47966.0,45569.0,0.0,44546.0,64862.0,107.03300330033004
CircularHotel,47821.0,0.0,47433.0,43380.0,44083.0,45327.0,47908.0,48369.0,48953.0,46940.0,46102.0,48218.0,64316.75,106.13325082508251
HiBot,46489.0,48608.0,44767.0,44826.0,48212.0,44380.0,45604.0,48150.0,0.0,44770.0,45221.0,45003.0,63253.75,104.37912541254126
GoodBot,43556.0,43528.0,45712.0,42146.0,41249.0,43243.0,45493.0,0.0,46033.0,41647.0,43797.0,41256.0,Disconnected,Disconnected
Jimbus,52025.0,50990.0,49290.0,50064.0,51491.0,48705.0,48565.0,50514.0,49922.0,0.0,49042.0,42908.0,Disconnected,Disconnected
QQQ,48556.0,49998.0,46373.0,49613.0,49021.0,47556.0,46139.0,48161.0,47534.0,42215.0,45634.0,0.0,Disconnected,Disconnected
