,Agent Name,Average Utility,Final Score
2,DelAgent,841.1933438985737,8.328646969292809
3,E2A,840.784469096672,8.324598703927444
13,TeamPlayer,837.004761904762,8.287175860443186
16,Zenly,830.0952380952381,8.218764733616219
8,Jimbus,826.1,8.179207920792079
14,Sticky,823.4063492063492,8.152538110953953
4,DumbChicken,819.7511885895404,8.116348401876637
6,Eyes,819.1650793650794,8.110545340248311
0,StaticRandom,809.5795275590551,8.015638886723318
11,QQQ,808.5222222222222,8.005170517051706
5,EtchAgent,806.6069730586371,7.986207654045912
10,Kamen,791.5793650793651,7.837419456231338
1,CircularHotel,785.1410459587955,7.773673722364313
12,Random,780.8126984126984,7.730818796165331
15,Spinner,761.1857142857143,7.536492220650636
7,GoodBot,745.0793650793651,7.377023416627377
