,Exponential,Random,FicticiousPlay,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-38.0,-20.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,494.0,239.33333333333334,0.47771124417831007
Exponential,0.0,1.0,38.0,572.0,0.0,0.0,0.0,0.0,0.0,148.0,126.5,0.25249500998003993
Random,-1.0,0.0,20.0,-12.0,0.0,0.0,0.0,0.0,0.0,-20.0,-2.1666666666666665,-0.004324683965402528
RockLover,-572.0,12.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,-178.83333333333334,-0.3569527611443779
TA,-148.0,20.0,-494.0,-487.0,0.0,0.0,0.0,0.0,0.0,0.0,-184.83333333333334,-0.36892880904856956
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-1.6666666666666667
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-1.6666666666666667
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
