,Exponential,FicticiousPlay,Random,RockLover,BadMove,BadType,Thinker,BadConnection,MathBreaker,TA,Mean Points,Final Score
FicticiousPlay,-16.0,0.0,18.0,1000.0,0.0,0.0,0.0,0.0,0.0,492.0,249.0,0.24850299401197604
Exponential,0.0,16.0,31.0,559.0,0.0,0.0,0.0,0.0,0.0,187.0,132.16666666666666,0.1319028609447771
Random,-31.0,-18.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,-25.0,-8.5,-0.008483033932135729
RockLover,-559.0,-1000.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,-185.33333333333334,-0.18496340652029275
TA,-187.0,-492.0,25.0,-470.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.33333333333334,-0.18695941450432468
BadMove,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
BadType,-1002.0,-1002.0,-1002.0,-1002.0,0.0,0.0,0.0,0.0,0.0,-1002.0,-835.0,-0.8333333333333334
Thinker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
BadConnection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
MathBreaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Disconnected,Disconnected
